학교명,본분교,지역,메일주소
가야대학교(고령),제2캠퍼스,경북,kaya.ac.kr
가야대학교(김해),본교,경남,kaya.ac.kr
가천대학교,본교,경기,gachon.ac.kr
가톨릭관동대학교,본교,강원,cku.ac.kr
가톨릭꽃동네대학교,본교,충북,
가톨릭대학교,본교,경기,catholic.ac.kr
가톨릭대학교,제2캠퍼스,서울,catholic.ac.kr
가톨릭대학교,제3캠퍼스,서울,catholic.ac.kr
가톨릭상지대학교,본교,경북,csj.ac.kr
감리교신학대학교,본교,서울,mtu.ac.kr
강남대학교,본교,경기,kangnam.ac.kr
강동대학교,본교,충북,gangdong.ac.kr
강릉영동대학교,본교,강원,gyc.ac.kr
강서대학교,본교,서울,
강원대학교,본교,강원,kangwon.ac.kr
강원대학교,제2캠퍼스,강원,kangwon.ac.kr
강원도립대학교,본교,강원,gw.ac.kr
거제대학교,본교,경남,koje.ac.kr
건국대학교,본교,서울,konkuk.ac.kr
건국대학교(글로컬),분교,충북,kku.ac.kr
건양대학교,본교,충남,konyang.ac.kr
건양대학교,제2캠퍼스,대전,konyang.ac.kr
건양사이버대학교,본교,대전,kycu.ac.kr
경기과학기술대학교,본교,경기,gtec.ac.kr
경기대학교,본교,경기,kyonggi.ac.kr
경기대학교,제2캠퍼스,서울,kyonggi.ac.kr
경남대학교,본교,경남,hanma.kr
경남도립거창대학,본교,경남,gc.ac.kr
경남도립남해대학,본교,경남,namhae.ac.kr
경남정보대학교,본교,부산,kit.ac.kr
경동대학교,본교,강원,k1.ac.kr
경동대학교,제2캠퍼스,강원,k1.ac.kr
경동대학교,제3캠퍼스,강원,k1.ac.kr
경동대학교,제4캠퍼스,경기,k1.ac.kr
경민대학교,본교,경기,kyungmin.ac.kr
경복대학교,본교,경기,kbu.ac.kr
경북과학대학교,본교,경북,kbsc.ac.kr
경북대학교,본교,대구,knu.ac.kr
경북도립대학교,본교,경북,gpc.ac.kr
경북보건대학교,본교,경북,
경북전문대학교,본교,경북,kbc.ac.kr
경상국립대학교,본교,경남,
경성대학교,본교,부산,ks.ac.kr
경운대학교,본교,경북,ikw.ac.kr
경인교육대학교,본교,인천,ginue.ac.kr
경인교육대학교,제2캠퍼스,경기,ginue.ac.kr
경인여자대학교,본교,인천,kic.ac.kr
경일대학교,본교,경북,kiu.kr
경희대학교,본교,서울,khu.ac.kr
경희사이버대학교,본교,서울,khcu.ac.kr
계명대학교,본교,대구,kmu.ac.kr
계명문화대학교,본교,대구,kmcu.ac.kr
계원예술대학교,본교,경기,kaywon.ac.kr
고려대학교,본교,서울,korea.ac.kr
고려대학교(세종),분교,세종,korea.ac.kr
고려사이버대학교,본교,서울,cuk.edu
고신대학교,본교,부산,kosin.ac.kr
공주교육대학교,본교,충남,gjue.ac.kr
광신대학교,본교,광주,kwangshin.ac.kr
광양보건대학교,본교,전남,kwangyang.ac.kr
광운대학교,본교,서울,kw.ac.kr
광주가톨릭대학교,본교,전남,kjcatholic.ac.kr
광주과학기술원,본교,광주,
광주교육대학교,본교,광주,gnue.ac.kr
광주대학교,본교,광주,gwangju.ac.kr
광주보건대학교,본교,광주,ghu.ac.kr
광주여자대학교,본교,광주,kwu.ac.kr
구미대학교,본교,경북,gumi.ac.kr
국립강릉원주대학교,본교,강원,gwnu.ac.kr
국립강릉원주대학교,제2캠퍼스,강원,gwnu.ac.kr
국립공주대학교,본교,충남,smail.kongju.ac.kr
국립군산대학교,본교,전북,
국립금오공과대학교,본교,경북,kumoh.ac.kr
국립목포대학교,본교,전남,mokpo.ac.kr
국립목포해양대학교,본교,전남,mmu.ac.kr
국립부경대학교,본교,부산,pukyong.ac.kr
국립순천대학교,본교,전남,scnu.ac.kr
국립안동대학교,본교,경북,anu.ac.kr
국립창원대학교,본교,경남,changwon.ac.kr
국립한국교통대학교,본교,충북,ut.ac.kr
국립한국해양대학교,본교,부산,kmou.ac.kr
국립한밭대학교,본교,대전,hanbat.ac.kr
국민대학교,본교,서울,kookmin.ac.kr
국제대학교,본교,경기,kookje.ac.kr
국제사이버대학교,본교,경기,
군산간호대학교,본교,전북,kcn.ac.kr
군장대학교,본교,전북,kunjang.ac.kr
극동대학교,본교,충북,kdu.ac.kr
글로벌사이버대학교,본교,충남,global.ac.kr
금강대학교,본교,충남,ggu.ac.kr
기독간호대학교,본교,광주,ccn.ac.kr
김천대학교,본교,경북,gimcheon.ac.kr
김포대학교,본교,경기,kimpo.ac.kr
김해대학교,본교,경남,gimhae.ac.kr
나사렛대학교,본교,충남,kornu.ac.kr
나주대학교,본교,전남,
남부대학교,본교,광주,nambu.ac.kr
남서울대학교,본교,충남,nsu.ac.kr
농협대학교,본교,경기,nonghyup.ac.kr
단국대학교,본교,경기,dankook.ac.kr
단국대학교,제2캠퍼스,충남,dankook.ac.kr
대경대학교,본교,경북,tk.ac.kr
대구가톨릭대학교,본교,경북,cu.ac.kr
대구경북과학기술원,본교,대구,
대구공업대학교,본교,대구,ttc.ac.kr
대구과학대학교,본교,대구,tsu.ac.kr
대구교육대학교,본교,대구,dnue.ac.kr
대구대학교,본교,경북,daegu.ac.kr
대구보건대학교,본교,대구,dhc.ac.kr
대구사이버대학교,본교,경북,dcu.ac.kr
대구예술대학교,본교,경북,dgau.ac.kr
대구한의대학교,본교,경북,dhu.ac.kr
대덕대학교,본교,대전,ddu.ac.kr
대동대학교,본교,부산,daedong.ac.kr
대림대학교,본교,경기,daelim.ac.kr
대신대학교,본교,경북,daeshin.ac.kr
대원대학교,본교,충북,daewon.ac.kr
대전가톨릭대학교,본교,세종,dcatholic.ac.kr
대전과학기술대학교,본교,대전,
대전대학교,본교,대전,edu.dju.ac.kr
대전보건대학교,본교,대전,hit.ac.kr
대전신학대학교,본교,대전,daejeon.ac.kr
대진대학교,본교,경기,daejin.ac.kr
덕성여자대학교,본교,서울,duksung.ac.kr
동강대학교,본교,광주,dkc.ac.kr
동국대학교,본교,서울,dongguk.edu
동국대학교(WISE),분교,경북,dongguk.ac.kr
동남보건대학교,본교,경기,dongnam.ac.kr
동덕여자대학교,본교,서울,dongduk.ac.kr
동명대학교,본교,부산,tu.ac.kr
동서대학교,본교,부산,dongseo.ac.kr
동서울대학교,본교,경기,dsc.ac.kr
동신대학교,본교,전남,dsu.kr
